i,j
"{""name"":흑설탕}","{""name"":백설탕}"
"{""name"":말린고추}","{""name"":고추}"
"{""name"":대패삼겹살}","{""name"":차돌박이}"
"{""name"":대패삼겹살}","{""name"":베이컨}"
"{""name"":대패삼겹살}","{""name"":돼지고기}"
"{""name"":대패삼겹살}","{""name"":우삼겹}"
"{""name"":대패삼겹살}","{""name"":삼겹살}"
"{""name"":매실청}","{""name"":양파청}"
"{""name"":매실청}","{""name"":매실}"
"{""name"":매실청}","{""name"":매실액}"
"{""name"":집된장}","{""name"":시판된장}"
"{""name"":집된장}","{""name"":쌈장}"
"{""name"":집된장}","{""name"":된장}"
"{""name"":닭안심}","{""name"":닭순살}"
"{""name"":닭안심}","{""name"":닭}"
"{""name"":닭안심}","{""name"":닭가슴살}"
"{""name"":닭안심}","{""name"":닭다리}"
"{""name"":애느타리버섯}","{""name"":버섯}"
"{""name"":애느타리버섯}","{""name"":느타리버섯}"
"{""name"":사골국물}","{""name"":다시육수}"
"{""name"":사골국물}","{""name"":사골육수}"
"{""name"":옥수수}","{""name"":옥수수콘}"
"{""name"":도넛}","{""name"":베이글}"
"{""name"":갈치}","{""name"":삼치}"
"{""name"":갈치}","{""name"":고등어}"
"{""name"":양파즙}","{""name"":사과즙}"
"{""name"":양파즙}","{""name"":매실원액}"
"{""name"":양파즙}","{""name"":매실액}"
"{""name"":휘핑크림}","{""name"":생크림}"
"{""name"":리코타치즈}","{""name"":치즈}"
"{""name"":열무}","{""name"":얼갈이}"
"{""name"":피칸버터}","{""name"":땅콩버터}"
"{""name"":쫄면}","{""name"":냉면사리}"
"{""name"":대하}","{""name"":새우}"
"{""name"":비엔나소시지}","{""name"":프랑크소시지}"
"{""name"":비엔나소시지}","{""name"":소시지}"
"{""name"":흑임자}","{""name"":참깨}"
"{""name"":겨자}","{""name"":연겨자}"
"{""name"":겨자}","{""name"":씨겨자}"
"{""name"":겨자}","{""name"":고추냉이}"
"{""name"":겨자}","{""name"":와사비}"
"{""name"":콩기름}","{""name"":식용유}"
"{""name"":콩기름}","{""name"":기름}"
"{""name"":커피}","{""name"":정종}"
"{""name"":고기순대}","{""name"":순대}"
"{""name"":라임}","{""name"":자몽}"
"{""name"":전분물}","{""name"":녹말}"
"{""name"":우거지}","{""name"":근대}"
"{""name"":땅콩버터}","{""name"":버터}"
"{""name"":땅콩버터}","{""name"":피칸버터}"
"{""name"":밀크초콜릿}","{""name"":크런치초콜릿}"
"{""name"":밀크초콜릿}","{""name"":화이트초콜릿}"
"{""name"":밀크초콜릿}","{""name"":초콜릿}"
"{""name"":김밥햄}","{""name"":햄}"
"{""name"":된장}","{""name"":시판된장}"
"{""name"":된장}","{""name"":집된장}"
"{""name"":된장}","{""name"":쌈장}"
"{""name"":된장}","{""name"":고추장}"
"{""name"":된장}","{""name"":쌈장}"
"{""name"":돼지고기앞다리살}","{""name"":돼지고기}"
"{""name"":메밀면}","{""name"":국수면}"
"{""name"":닭날개}","{""name"":닭봉}"
"{""name"":닭날개}","{""name"":닭순살}"
"{""name"":닭날개}","{""name"":닭}"
"{""name"":닭날개}","{""name"":닭가슴살}"
"{""name"":닭날개}","{""name"":닭다리}"
"{""name"":식빵}","{""name"":호밀식빵}"
"{""name"":식빵}","{""name"":모닝빵}"
"{""name"":흑미}","{""name"":백미}"
"{""name"":흑미}","{""name"":찹쌀}"
"{""name"":흑미}","{""name"":백미}"
"{""name"":흑미}","{""name"":맵쌀}"
"{""name"":멸치육수}","{""name"":육수}"
"{""name"":토마토소스}","{""name"":토마토케첩}"
"{""name"":토마토소스}","{""name"":스파게티소스}"
"{""name"":토마토소스}","{""name"":스파게티소스}"
"{""name"":팽이버섯}","{""name"":버섯}"
"{""name"":스파게티소스}","{""name"":토마토소스}"
"{""name"":스파게티소스}","{""name"":토마토소스}"
"{""name"":스파게티소스}","{""name"":피자소스}"
"{""name"":피망}","{""name"":파프리카}"
"{""name"":피망}","{""name"":청피망}"
"{""name"":녹두콩앙금}","{""name"":팥앙금}"
"{""name"":파슬리}","{""name"":셀러리}"
"{""name"":미림}","{""name"":생강술}"
"{""name"":미림}","{""name"":청주}"
"{""name"":미림}","{""name"":소주}"
"{""name"":미림}","{""name"":맛술}"
"{""name"":우엉}","{""name"":연근}"
"{""name"":녹말}","{""name"":전분물}"
"{""name"":돼지고기}","{""name"":소고기}"
