5915,버터계란밥,5분,91,569.4 kcal,"[""밥"",""계란"",""진간장"",""소금"",""버터""]"
5914,계란말이,15분,65,288.7 kcal,"[""계란"",""체다치즈"",""스트링치즈"",""파"",""소금""]"
5913,소고기 무국,20분,1029,249.7 kcal,"[""소고기"",""무"",""파"",""후추"",""소금"",""국간장"",""마늘"",""참기름""]"
5912,돼지고기 김치찌개,15분,169,253.8 kcal,"[""돼지고기앞다리살"",""김치"",""두부"",""파"",""청양고추"",""국간장"",""마늘"",""후추"",""고추가루"",""된장""]"
5911,콩나물국,10분,206,98.0 kcal,"[""콩나물"",""대파"",""청양고추"",""맛소금"",""국간장"",""해물다시팩"",""마늘""]"
5910,소고기 볶음 고추장,30분,330,183.6 kcal,"[""소고기"",""해물다시팩육수"",""고추장"",""파"",""깨"",""진간장"",""마늘"",""설탕"",""참기름"",""후추""]"
5909,맛간장,5분,74,44.0 kcal,"[""양파"",""청양고추"",""진간장"",""식초"",""설탕""]"
5908,두부계란전,15분,406,184.5 kcal,"[""두부"",""계란"",""마늘"",""소금""]"
5907,치킨 스테이크,30분,152,399.1 kcal,"[""닭다리"",""쯔유"",""소금"",""올리고당"",""마늘"",""후추"",""올리브유""]"
5900,후추 오징어,20분,22,343.3 kcal,"[""오징어"",""후추"",""간장""]"
5899,도토리묵밥(묵사발),15분,42,241.2 kcal,"[""도토리묵"",""신김치"",""오이"",""계란"",""김"",""양조간장"",""국간장"",""마늘"",""대파"",""통깨"",""밥"",""밴댕이"",""국물용멸치"",""양파"",""다시마""]"
5898,빠삐코 라떼,5분,78,Null,"[""빠삐코바"",""휘핑크림"",""롯데샌드"",""코코볼""]"
5897,키스틱 식빵 핫도그,15분,29,Null,"[""식빵"",""키스틱크림치즈롤"",""계란"",""빵가루""]"
5896,베이컨키스틱말이,10분,37,Null,"[""키스틱체다치즈"",""베이컨"",""김밥 재료""]"
5894,돌돌말이 샌드위치꼬치 ,5분,147,Null,"[""식빵"",""샌드위치햄"",""치즈"",""쨈"",""요거트"",""꼬지""]"
5893,알리오올리오,20분,64,Null,"[""파스타면"",""양파"",""마늘"",""후추"",""파슬리"",""파마산치즈"",""소금"",""페페론치노"",""베이컨"",""올리브유""]"
5892,꼬막비빔밥,15분,19,559.8 kcal,"[""꼬막"",""양념간장"",""고추가루"",""쌀밥""]"
5891,고구마 스틱 앤 튀김,10분,22,Null,"[""고구마"",""튀김가루"",""청양고추"",""기름""]"
5890,미역국,20분,19,Null,"[""미역"",""국거리소고기"",""마늘"",""참기름""]"
5889,된장찌개,20분,62,196.8 kcal,"[""감자"",""된장"",""양파"",""쇠고기다시다""]"
5888,소시지 파프리카 볶음,3분,28,767.2 kcal,"[""비엔나소시지"",""케첩"",""파프리카"",""양파"",""소금""]"
5887,팬케잌,5분,11,Null,"[""밀가루"",""설탕""]"
